STAGE_NUMBER,AT_KM,CITY,COUNTRY,LATITUDE,LONGITUDE
257,97,Templeuve,FRA,50.5272,3.1758
258,119,Pinon,FRA,49.4883,3.4464
259,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
260,100,Dinozé,FRA,48.1411,6.4772
261,105,Linthal,FRA,47.9475,7.1311
262,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
263,89,Charcier,FRA,46.6281,5.7514
264,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
265,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
266,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
267,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
268,123.5,Saint-Girons,FRA,42.9858,1.1467
269,31,Saint-Béat,FRA,42.915,0.6933
270,61.5,Trébons,FRA,43.1022,0.1219
271,130.5,Tonneins,FRA,44.3906,0.3092
273,91,Paris Champs-Élysées,FRA,48.8567,2.3508
274,77,Newbiggin,ENG,54.26929,-2.00449
275,68.5,Keighley,ENG,53.867,-1.911
276,108,Epping Forest,ENG,51.66,0.05
277,92,Cassel,FRA,50.8006,2.4883
278,97,Templeuve,FRA,50.5272,3.1758
279,119,Pinon,FRA,49.4883,3.4464
280,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
281,100,Dinozé,FRA,48.1411,6.4772
282,105,Linthal,FRA,47.9475,7.1311
283,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
284,89,Charcier,FRA,46.6281,5.7514
285,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
286,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
287,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
288,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
289,123.5,Saint-Girons,FRA,42.9858,1.1467
290,31,Saint-Béat,FRA,42.915,0.6933
291,61.5,Trébons,FRA,43.1022,0.1219
292,130.5,Tonneins,FRA,44.3906,0.3092
294,91,Paris Champs-Élysées,FRA,48.8567,2.3508
295,77,Newbiggin,ENG,54.26929,-2.00449
296,68.5,Keighley,ENG,53.867,-1.911
297,108,Epping Forest,ENG,51.66,0.05
298,92,Cassel,FRA,50.8006,2.4883
299,97,Templeuve,FRA,50.5272,3.1758
300,119,Pinon,FRA,49.4883,3.4464
301,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
302,100,Dinozé,FRA,48.1411,6.4772
303,105,Linthal,FRA,47.9475,7.1311
304,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
305,89,Charcier,FRA,46.6281,5.7514
306,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
307,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
308,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
309,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
310,123.5,Saint-Girons,FRA,42.9858,1.1467
311,31,Saint-Béat,FRA,42.915,0.6933
312,61.5,Trébons,FRA,43.1022,0.1219
313,130.5,Tonneins,FRA,44.3906,0.3092
315,91,Paris Champs-Élysées,FRA,48.8567,2.3508
316,77,Newbiggin,ENG,54.26929,-2.00449
317,68.5,Keighley,ENG,53.867,-1.911
318,108,Epping Forest,ENG,51.66,0.05
319,92,Cassel,FRA,50.8006,2.4883
320,97,Templeuve,FRA,50.5272,3.1758
321,119,Pinon,FRA,49.4883,3.4464
322,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
323,100,Dinozé,FRA,48.1411,6.4772
324,105,Linthal,FRA,47.9475,7.1311
325,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
326,89,Charcier,FRA,46.6281,5.7514
327,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
328,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
329,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
330,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
331,123.5,Saint-Girons,FRA,42.9858,1.1467
332,31,Saint-Béat,FRA,42.915,0.6933
333,61.5,Trébons,FRA,43.1022,0.1219
334,130.5,Tonneins,FRA,44.3906,0.3092
336,91,Paris Champs-Élysées,FRA,48.8567,2.3508
337,77,Newbiggin,ENG,54.26929,-2.00449
338,68.5,Keighley,ENG,53.867,-1.911
339,108,Epping Forest,ENG,51.66,0.05
340,92,Cassel,FRA,50.8006,2.4883
341,97,Templeuve,FRA,50.5272,3.1758
342,119,Pinon,FRA,49.4883,3.4464
343,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
344,100,Dinozé,FRA,48.1411,6.4772
345,105,Linthal,FRA,47.9475,7.1311
346,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
347,89,Charcier,FRA,46.6281,5.7514
348,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
349,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
350,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
351,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
352,123.5,Saint-Girons,FRA,42.9858,1.1467
353,31,Saint-Béat,FRA,42.915,0.6933
354,61.5,Trébons,FRA,43.1022,0.1219
355,130.5,Tonneins,FRA,44.3906,0.3092
357,91,Paris Champs-Élysées,FRA,48.8567,2.3508
358,77,Newbiggin,ENG,54.26929,-2.00449
359,68.5,Keighley,ENG,53.867,-1.911
360,108,Epping Forest,ENG,51.66,0.05
361,92,Cassel,FRA,50.8006,2.4883
362,97,Templeuve,FRA,50.5272,3.1758
363,119,Pinon,FRA,49.4883,3.4464
364,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
365,100,Dinozé,FRA,48.1411,6.4772
366,105,Linthal,FRA,47.9475,7.1311
367,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
368,89,Charcier,FRA,46.6281,5.7514
369,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
370,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
371,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
372,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
373,123.5,Saint-Girons,FRA,42.9858,1.1467
374,31,Saint-Béat,FRA,42.915,0.6933
375,61.5,Trébons,FRA,43.1022,0.1219
376,130.5,Tonneins,FRA,44.3906,0.3092
378,91,Paris Champs-Élysées,FRA,48.8567,2.3508
379,77,Newbiggin,ENG,54.26929,-2.00449
380,68.5,Keighley,ENG,53.867,-1.911
381,108,Epping Forest,ENG,51.66,0.05
382,92,Cassel,FRA,50.8006,2.4883
383,97,Templeuve,FRA,50.5272,3.1758
384,119,Pinon,FRA,49.4883,3.4464
385,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
386,100,Dinozé,FRA,48.1411,6.4772
387,105,Linthal,FRA,47.9475,7.1311
388,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
389,89,Charcier,FRA,46.6281,5.7514
390,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
391,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
392,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
393,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
394,123.5,Saint-Girons,FRA,42.9858,1.1467
395,31,Saint-Béat,FRA,42.915,0.6933
396,61.5,Trébons,FRA,43.1022,0.1219
397,130.5,Tonneins,FRA,44.3906,0.3092
399,91,Paris Champs-Élysées,FRA,48.8567,2.3508
400,77,Newbiggin,ENG,54.26929,-2.00449
401,68.5,Keighley,ENG,53.867,-1.911
402,108,Epping Forest,ENG,51.66,0.05
403,92,Cassel,FRA,50.8006,2.4883
404,97,Templeuve,FRA,50.5272,3.1758
405,119,Pinon,FRA,49.4883,3.4464
406,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
407,100,Dinozé,FRA,48.1411,6.4772
408,105,Linthal,FRA,47.9475,7.1311
409,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
410,89,Charcier,FRA,46.6281,5.7514
411,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
412,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
413,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
414,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
415,123.5,Saint-Girons,FRA,42.9858,1.1467
416,31,Saint-Béat,FRA,42.915,0.6933
417,61.5,Trébons,FRA,43.1022,0.1219
418,130.5,Tonneins,FRA,44.3906,0.3092
420,91,Paris Champs-Élysées,FRA,48.8567,2.3508
421,77,Newbiggin,ENG,54.26929,-2.00449
422,68.5,Keighley,ENG,53.867,-1.911
423,108,Epping Forest,ENG,51.66,0.05
424,92,Cassel,FRA,50.8006,2.4883
425,97,Templeuve,FRA,50.5272,3.1758
426,119,Pinon,FRA,49.4883,3.4464
427,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
428,100,Dinozé,FRA,48.1411,6.4772
429,105,Linthal,FRA,47.9475,7.1311
430,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
431,89,Charcier,FRA,46.6281,5.7514
432,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
433,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
434,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
435,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
436,123.5,Saint-Girons,FRA,42.9858,1.1467
437,31,Saint-Béat,FRA,42.915,0.6933
438,61.5,Trébons,FRA,43.1022,0.1219
439,130.5,Tonneins,FRA,44.3906,0.3092
441,91,Paris Champs-Élysées,FRA,48.8567,2.3508
442,77,Newbiggin,ENG,54.26929,-2.00449
443,68.5,Keighley,ENG,53.867,-1.911
444,108,Epping Forest,ENG,51.66,0.05
445,92,Cassel,FRA,50.8006,2.4883
446,97,Templeuve,FRA,50.5272,3.1758
447,119,Pinon,FRA,49.4883,3.4464
448,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
449,100,Dinozé,FRA,48.1411,6.4772
450,105,Linthal,FRA,47.9475,7.1311
451,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
452,89,Charcier,FRA,46.6281,5.7514
453,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
454,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
455,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
456,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
457,123.5,Saint-Girons,FRA,42.9858,1.1467
458,31,Saint-Béat,FRA,42.915,0.6933
459,61.5,Trébons,FRA,43.1022,0.1219
460,130.5,Tonneins,FRA,44.3906,0.3092
462,91,Paris Champs-Élysées,FRA,48.8567,2.3508
