STAGE_NUMBER,AT_KM,CITY,COUNTRY,LATITUDE,LONGITUDE
663,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
664,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
665,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
666,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
667,123.5,Saint-Girons,FRA,42.9858,1.1467
668,31,Saint-Béat,FRA,42.915,0.6933
669,61.5,Trébons,FRA,43.1022,0.1219
670,130.5,Tonneins,FRA,44.3906,0.3092
672,91,Paris Champs-Élysées,FRA,48.8567,2.3508
673,77,Newbiggin,ENG,54.26929,-2.00449
674,68.5,Keighley,ENG,53.867,-1.911
675,108,Epping Forest,ENG,51.66,0.05
676,92,Cassel,FRA,50.8006,2.4883
677,97,Templeuve,FRA,50.5272,3.1758
678,119,Pinon,FRA,49.4883,3.4464
679,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
680,100,Dinozé,FRA,48.1411,6.4772
681,105,Linthal,FRA,47.9475,7.1311
682,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
683,89,Charcier,FRA,46.6281,5.7514
684,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
685,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
686,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
687,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
688,123.5,Saint-Girons,FRA,42.9858,1.1467
689,31,Saint-Béat,FRA,42.915,0.6933
690,61.5,Trébons,FRA,43.1022,0.1219
691,130.5,Tonneins,FRA,44.3906,0.3092
693,91,Paris Champs-Élysées,FRA,48.8567,2.3508
694,77,Newbiggin,ENG,54.26929,-2.00449
695,68.5,Keighley,ENG,53.867,-1.911
696,108,Epping Forest,ENG,51.66,0.05
697,92,Cassel,FRA,50.8006,2.4883
698,97,Templeuve,FRA,50.5272,3.1758
699,119,Pinon,FRA,49.4883,3.4464
700,148,Hannonville-Sous-Les-Côtes,FRA,49.0408,5.6592
701,100,Dinozé,FRA,48.1411,6.4772
702,105,Linthal,FRA,47.9475,7.1311
703,39.5,Muhlele (Gunsbach),FRA,48.0483,7.1767
704,89,Charcier,FRA,46.6281,5.7514
705,39.5,Romanèche-Thorins,FRA,46.1906,4.7369
706,169.5,Saint-Martin-D'hères,FRA,45.1672,5.7653
707,40,La Paute (Bourg-D'oisans),FRA,45.0558,6.0303
708,175.5,La Galine (Saint-Rémy-De-Provence),FRA,43.79,4.8325
709,123.5,Saint-Girons,FRA,42.9858,1.1467
710,31,Saint-Béat,FRA,42.915,0.6933
711,61.5,Trébons,FRA,43.1022,0.1219
